1023,2800 La Frontera Blvd Round Rock TX 78681,1163,4,0.6168602499887189
895,1111 Sunrise Rd Round Rock TX 78664,860,0,0.5931866793014756
850,1200 Sunrise Dr Round Rock TX 78664,755,4,0.5864044943820225
1056,1301 N AW Grimes Blvd Round Rock TX 78665,1164,4,0.5449799196787148
1020,2001 Magnolia Dr Round Rock TX 78664,1068,0,0.5274193402824783
991,2501 Louis Henna Blvd Round Rock TX 78664,1002,4,0.5247339921483687
1014,901 Hidden Valley Dr Round Rock TX 78665,1034,4,0.5062903298587609
945,1101 Georgetown St Round Rock TX 78664,863,4,0.48577862009837103
975,1525 Palm Valley Blvd Round Rock TX 78664,925,4,0.4822101890708903
1067,1301 N AW Grimes Blvd Round Rock TX 78665,1101,4,0.4569748657551555
1099,941 Hesters Crossing Rd Round Rock TX 78681,1163,4,0.4489887640449438
1018,300 S AW Grimes Blvd Round Rock TX 78664,970,4,0.4327358873697036
978,700 Louis Henna Blvd Round Rock TX 78664,850,4,0.3997409864175805
1085,2800 Sunrise Ranch Rd Round Rock TX 78665,1083,4,0.39901358241956597
995,600 Greenhill Dr Round Rock TX 78665,886,4,0.39859527999639005
1033,1111 S Creek Dr Round Rock TX 78664,950,4,0.379378638148098
1050,1200 Sam Bass Cir Round Rock TX 78681,980,4,0.37216551599657055
995,1801 E Palm Valley Blvd Round Rock TX 78664,850,4,0.36219078561436757
949,2100 Willowbend Dr Round Rock TX 78664,719,4,0.3313253012048193
1050,101 E Bowman Dr Round Rock TX 78664,918,4,0.3094688867830874
1078,2811 La Frontera Blvd Austin TX 78728,979,4,0.30930689048328147
1069,20404 Poppy Hills Trl Round Rock TX 78664,958,4,0.3079504534993909
1039,1200 S Mays St Round Rock TX 78664,850,4,0.2650020305942873
1069,20404 Poppy Hills Trl Round Rock TX 78664,868,4,0.2169392175443347
